titulo,Don Segundo Sombra,Martín Fierro,El túnel,Cien años de soledad,Rayuela,Fervor de Buenos Aires,Sobre héroes y tumbas,El Aleph,Las fuerzas extrañas,La casa de los espiritus,El coronel no tiene quien le escriba,Pedro Páramo,El amor en los tiempos del cólera,La tregua,Los pasos perdidos,Los ríos profundos,Zama,Las intermitencias de la muerte,Memorias de mis putas tristes,El perfume,La sombra del viento,La metamorfosis,1984,Crónica de una muerte anunciada,Fahrenheit 451,Ensayo sobre la ceguera,La colmena,El viejo y el mar,Madame Bovary,Ana Karenina,La guerra y la paz,Los miserables,Matar a un ruiseñor,Orgullo y prejuicio,El gran Gatsby,Drácula,Frankenstein,El extranjero,La náusea,El camino de los reyes,Palabras radiantes,El héroe de las eras,El imperio final,Juramentada,El aliento de los dioses,El Ritmo de la Guerra,El alma del emperador,El líder que no tenía cargo,Los secretos de la mente millonaria,Cómo ganar amigos e influir sobre las personas,Los 7 hábitos de la gente altamente efectiva,Piense y hágase rico,Hábitos atómicos,El poder del ahora,Tus zonas erróneas,La magia del orden,El monje que vendió su Ferrari,Despierta tu héroe interior,Vivir con abundancia,Dune,Fundación,Neuromante,Snow Crash,La carretera,Un mundo feliz,El hombre en el castillo,El nombre de la rosa,La trilogía de Nueva York,La verdad sobre el caso Harry Quebert,Mujercitas,La insoportable levedad del ser,El diario de Ana Frank,Steve Jobs,El hombre que amaba a los perros,Los detectives salvajes,La broma infinita,Hijos de la medianoche,El arte de la guerra,Sapiens,Homo Deus,Educada,El código de la manifestación,El poder de la disciplina,Los cuatro acuerdos,El marciano,El problema de los tres cuerpos,Hyperion,El hombre invisible,La isla del doctor Moreau,Ubik,La mano izquierda de la oscuridad,Cuentos completos,It,El resplandor,El exorcista,Cementerio de animales,La chica del tren,Perdida,El silencio de los corderos,Los hombres que no amaban a las mujeres,La catedral del mar,La ladrona de libros,Patria,El príncipe,La República,Meditaciones,Más allá del bien y del mal,El segundo sexo,Atrévete a no gustar,Vendes o vendes,Los secretos de la felicidad auténtica,La vaca,Piensa como un monje,El camino del artista,La buena suerte,Tus tres superpoderes para lograr una vida extraordinaria,El poder sin límites,Gente tóxica
Don Segundo Sombra,1.0,0.7682578071553158,-0.8319693560851558,0.12240306403789852,-0.8581541469848172,0.745271679890675,-0.9552374265173531,0.9713096503939385,-0.31534847822543116,-0.5248936821391471,0.29759987591433745,0.1659214243310657,-0.19061641475314495,0.49290061927050693,-0.9363084234628821,-0.17893828433101308,-0.2098499746210913,-0.2444203440451328,0.30270297436626226,0.06624680012273351,-0.0024673080778722894,0.699333727701294,-0.5038343682367196,0.7252751196152927,0.14131321515516318,-0.46035809290522917,-0.3356851954205356,0.4906806474932528,-0.36984209723946515,-0.7271109037341921,-0.4568945207831471,-0.4030542645758228,0.196380587370355,-0.17165196877955757,0.49491649499334645,-0.7460807616599332,0.9762909771726739,-0.02076692498972211,-0.8502842426904113,-0.4199283637704426,-0.31369461229041873,0.0005941290053709345,0.06149524938251235,-0.31684385625637485,-0.01434098634956265,-0.4030542645758228,0.8938132157525991,0.7752622384665252,0.8938132157525991,0.9007221098372753,0.12240306403789852,0.9948702925337713,0.7692078392921617,0.2360340183647527,0.9888488697635242,0.7486702551611494,0.9354530868191827,0.7752622384665252,0.7486702551611494,-0.41834771860068676,0.1051208185288033,-0.8036381724493159,-0.8426638804575519,-0.29144966158571356,-0.31594026213277676,-0.3163042151377642,-0.9543283623814567,-0.3665596962727443,-0.5076354335639478,0.6227493971629621,-0.3500596488500634,0.7622238302331689,-0.055731260286440314,-0.6138840190341999,-0.9460123770707198,-0.7333728216829416,-0.9400124143103813,0.985728600117132,0.06468526115877928,-0.23994294446928272,0.14971857256727647,0.9435884482182727,0.7586029971539912,0.8794857370258364,0.1601705460106854,-0.8166595537537938,-0.848768303788248,0.7659182895895331,0.49461568817906254,-0.12264513160266262,-0.7479635733218806,-0.5350127585855555,-0.4474247311345413,0.05326542760440469,-0.6516450843930425,-0.17165196877955757,-0.37852749995592866,-0.4659152975102587,-0.054329538491649086,-0.5076354335639478,-0.29861385237217736,0.07914109371378761,-0.051085366126738925,0.7226672244222354,-0.520691491583557,0.21473246316612102,-0.7312027482894089,-0.8480289743270473,0.9888488697635242,0.7890524277739189,0.998676698973831,0.8908524618574618,1.0,0.9888488697635242,0.7467116724663314,0.4952126692006778,-0.23994294446928272,0.7478863147982729
Martín Fierro,0.7682578071553158,1.0000000000000002,-0.8084174873546495,-0.48856460171924304,-0.3425077385133353,0.8914284774743404,-0.5451207665840312,0.6939035964480375,0.2258039604260153,-0.18649258851172545,0.6591465854446786,-0.2726640630018447,-0.746969847773947,0.8092836254087513,-0.845390664799237,-0.1272832476543043,0.08531479689730066,0.09265015414496651,0.6411846540619798,-0.49490510421511374,-0.4174896361057793,0.6493155359349877,-0.9394316532504058,0.6984886578583905,-0.3352460133711203,-0.1776981774856411,0.19326540676633877,0.6939475567130644,0.11714166845380725,-0.6406287746349115,-0.37471718015790245,-0.4813269500831656,-0.4747530710270436,-0.7466773908757159,0.7419758381688307,-0.15504900193688323,0.7024282028933448,-0.09276310290883466,-0.5735527603160911,-0.5871801948448709,-0.5463817037615469,-0.4203212768649048,-0.3599196145872837,-0.48659425040288634,-0.40601554625546243,-0.4813269500831656,0.5880362745564407,0.8060063543896041,0.5880362745564407,0.4227977846656435,-0.48856460171924304,0.7420650869025138,0.2056730355604444,-0.433038155778229,0.7269325526942136,0.9433680258925359,0.6409209560788363,0.8060063543896041,0.9433680258925359,-0.7649025015776517,-0.4175744099664225,-0.5610612847552598,-0.356431906364403,0.18220256290562298,-0.15385196723384428,0.22604151300685557,-0.5668383701971783,0.2363648612904585,-0.05277190283073016,0.9335761410639458,0.11355147337709492,0.20925570883182795,-0.35982229324278336,-0.883395556755511,-0.7006375017144455,-0.22248461634920655,-0.5137713716054675,0.6679785066550736,-0.4675136355003282,-0.7229177552628951,-0.4899474980271104,0.6520829799679193,0.7674303686962041,0.5709830574790603,-0.4886998357680478,-0.9963279835022935,-0.9813470291006784,0.7838988864458153,0.7364398077809025,-0.11544359474941301,-0.9772335140852527,-0.555692230404883,-0.35465901663669835,-0.35384839893476155,-0.19812880687023296,-0.7466773908757159,0.23800784619810658,0.20466363736042795,-0.6714345804150234,-0.05277190283073016,-0.26818003220542347,-0.4748397770824178,-0.3654968600154766,0.693402669233124,-0.9465298032548702,-0.4601133420120558,-0.9689891286144624,-0.5714961449029949,0.7269325526942136,0.8418864909310048,0.7559285879445402,0.901564572314163,0.7682578071553158,0.7269325526942136,0.9565475315110841,0.7818554831569822,-0.7229177552628951,0.950156748477013
El túnel,-0.8319693560851558,-0.8084174873546495,1.0000000000000002,-0.05429594779096009,0.6498070972673902,-0.535553313959709,0.7285448410111333,-0.677555799485212,0.3640837845738924,0.7280752850945409,-0.09489442644983533,0.39926273514122623,0.26558846591852214,-0.3187483429650236,0.9728750432587246,0.6245004557072437,0.5111191541546454,0.5094842591847802,-0.07540287517511438,0.42313104953574465,-0.19729197521001562,-0.2900603137288165,0.6668811935613465,-0.34367778263430143,0.41042513303571226,0.722048131674891,0.39778713048746106,-0.18943631493331456,0.4764546630960661,0.30982893945593615,-0.04359469717909416,-0.020563862303200654,0.056379471423729864,0.2897335365366777,-0.2392010830665693,0.38496941837644705,-0.6934229414840787,0.5331439819046428,0.9239410860337532,0.06452607425467148,-0.013336453719767011,-0.1942917551517393,-0.25818194027612634,-0.05987044526338275,-0.2086999740518974,-0.020563862303200654,-0.49746627671172766,-0.4688014587089861,-0.49746627671172766,-0.6913251854385456,-0.05429594779096009,-0.772173163586722,-0.5855340100663631,0.13163248461155777,-0.7409449010865536,-0.6141583109120202,-0.5842508260617191,-0.4688014587089861,-0.6141583109120202,0.24473771625588703,0.4202063688653647,0.9324225187538037,0.7217103607490863,0.42396179783315263,0.683953030209904,0.3633358893513763,0.7971957772932932,0.3150266472058119,-0.04948770155360024,-0.86539118524984,0.4851490883129524,-0.6108680268275881,-0.2455905716223469,0.45761828880338606,0.6194133355155733,0.26324315169137874,0.6462644660564224,-0.7372621995821205,-0.12587049511461432,0.1858365392201943,-0.01643958860101198,-0.6032768195720183,-0.422414537958355,-0.47045865315122143,-0.0011294129873498395,0.8466674960375334,0.7823935245189518,-0.4419795109187736,-0.233233754049537,0.5946214261525242,0.8920366414453669,0.10778974287999135,-0.059391363512948846,-0.26436049766680014,0.7066201570577035,0.2897335365366777,0.30014362393657007,0.20522008559757057,0.38894022687083596,-0.04948770155360024,-0.2001293240920691,-0.10889758459198458,-0.24167701938638778,-0.3380439895447031,0.6561329512083063,0.08904083969173993,0.8966462763486052,0.42128540856400293,-0.7409449010865536,-0.5139437260038247,-0.802638312110406,-0.6834710372685406,-0.8319693560851558,-0.7409449010865536,-0.6374448890660367,-0.284494507695728,0.1858365392201943,-0.6258867886661992
Cien años de soledad,0.12240306403789852,-0.48856460171924304,-0.05429594779096009,1.0,-0.6095354938207461,-0.5375793728628336,-0.39483092171776707,0.10485557057342153,-0.9435342865961245,-0.6815622059406148,-0.8438879404050582,0.2872617197020535,0.9449221008231571,-0.7703446808136069,-0.05047892663454113,-0.4258096945730182,-0.7319517454525687,-0.7710648177532053,-0.8240815420852332,0.5789169640271725,0.8916570927522337,-0.34804770533366247,0.7077581422300563,-0.37025275110088574,0.368543294100274,-0.6406880896153306,-0.929926645109389,-0.6744210332386036,-0.8872484540845186,0.2946038318409899,0.32959958692031993,0.5411258259914616,0.9448716523107474,0.9399271554673578,-0.7150404145490059,-0.6346340817627067,0.10672570387785461,-0.2862568893505772,-0.4198097434784523,0.6445990288122014,0.7207762627466734,0.8966371526070711,0.8909036420264439,0.6509888326985913,0.8712930242887847,0.5411258259914616,0.08293920571866031,-0.41776937203047054,0.08293920571866031,0.5360913081360609,1.0,0.11580492135835711,0.7268953224423316,0.8421106667290367,0.11224893293483063,-0.5623319581839655,0.09364214630047354,-0.41776937203047054,-0.5623319581839655,0.8118521396871414,0.47640678117487856,-0.4114636450329657,-0.6310807717650873,-0.8964774200836259,-0.5365686600096813,-0.9441063899767838,-0.41166506360078303,-0.9630903332774049,-0.2716978719715244,-0.44159125960967116,-0.8722305173754001,0.7355950290369354,0.7870859858640995,0.6914300674812818,-0.02567600568888594,-0.4072354982365645,-0.3709993901730718,0.21035238159738567,0.9751023649695775,0.9280759211796787,0.9934765138205938,0.09595584227129453,-0.4009170527747144,0.0795633048379631,0.9871891753302113,0.4124948696689599,0.4127470056836652,-0.40814273862263023,-0.7103965774649471,-0.3774974490303001,0.39687623045986736,0.4624441265885425,0.3147259338740193,0.8786921526329678,-0.7447246325702417,0.9399271554673578,-0.9634364647039724,-0.8974618759817782,0.8207203879132043,-0.2716978719715244,0.3956064422293126,0.9857203182488118,0.7975824647282679,-0.36796764012284294,0.7155173108069587,0.9072695193443946,0.39200837298514524,-0.013683535991782467,0.11224893293483063,-0.4331819526897158,0.11920587236706413,-0.31931600623853096,0.12240306403789852,0.11224893293483063,-0.5681498172876107,-0.7481117741486086,0.9280759211796787,-0.5653656379544018
Rayuela,-0.8581541469848172,-0.3425077385133353,0.6498070972673902,-0.6095354938207461,1.0,-0.3324652322966239,0.9689507019079171,-0.8434393319008976,0.7151551058758439,0.7247681144145472,0.17005556516330378,-0.34742840159962624,-0.34018251408277417,-0.01465863211296117,0.7457965312726123,0.2959240747706366,0.49352922058041265,0.5448016614223659,0.15288032433466228,-0.40791342768951944,-0.42313870338563325,-0.4187705523776478,0.010858615948685629,-0.4240195378542253,-0.3677403942656021,0.6464959439918676,0.7222775450545385,-0.07802219088419853,0.7213380941124885,0.46835915092626,0.2522549415570516,0.09354280004317315,-0.6629863155816084,-0.35795664335791094,-0.05482243981364339,0.945814677887199,-0.8468245278451022,0.0941439235751719,0.8611899303949703,0.04537734761033588,-0.07911662357345636,-0.42881829184635145,-0.4726867774959994,-0.03490152218768305,-0.4006096414853059,0.09354280004317315,-0.7857085168994142,-0.42890071237665145,-0.7857085168994142,-0.9959449505543571,-0.6095354938207461,-0.8579656684396283,-0.9872809197033756,-0.6566760061625213,-0.8547878776104519,-0.312777689087237,-0.8174853541463263,-0.42890071237665145,-0.312777689087237,-0.06413936146763975,-0.3908405079603507,0.8136661338875021,0.9875195794846915,0.661930216389991,0.46814402112831455,0.7164065270042795,0.9677010800123439,0.777765412683444,0.6031086501480742,-0.22721936271603743,0.6947126463440922,-0.9820637622795607,-0.31576277066198194,0.14593255417588386,0.788073956437133,0.8351398503964024,0.9538408827909284,-0.9020736636173794,-0.5354036169463874,-0.2766493036566168,-0.6358770713640005,-0.8235366170127711,-0.42839871967933424,-0.7745582068986206,-0.6441459422282731,0.41979201977478575,0.45708368892518453,-0.42881212857877815,-0.0576769343866133,0.22445258056683237,0.35963937504795934,0.23599712912681783,0.2532705950335177,-0.4582594937530616,0.8741771063668035,-0.35795664335791094,0.7907056277090865,0.8487486456796165,-0.4167078254991381,0.6031086501480742,0.09607234261366289,-0.5560631170024709,-0.3257853178247035,-0.42355031875426524,0.023582819341448034,-0.6648203870246762,0.34633931798431616,0.7191805315158204,-0.8547878776104519,-0.4276977965816266,-0.8591607032769469,-0.5553055458734997,-0.8581541469848172,-0.8547878776104519,-0.30502917491454246,-0.03245969371664103,-0.2766493036566168,-0.3090059430273819
Fervor de Buenos Aires,0.745271679890675,0.8914284774743404,-0.535553313959709,-0.5375793728628336,-0.3324652322966239,0.9999999999999999,-0.5543392035299542,0.7821704796909501,0.3973097919374416,0.12360067958513915,0.8571197806693578,0.15035178289287376,-0.7375093167661101,0.9470178408154969,-0.6670271898941458,0.31058060335234283,0.4337616965073191,0.41947257360107126,0.8572518736237449,-0.14561393743829731,-0.6623422917529767,0.9155494399337601,-0.787526189673521,0.93950450958991,0.07317296284100099,0.16796424994377973,0.3778940436730832,0.9301194803641756,0.34056153507211767,-0.9046526212571053,-0.7528689188173573,-0.8217928326424009,-0.37557751192561556,-0.7035670341983429,0.9429036013806184,-0.2879528394581496,0.7806493079370216,0.36467780874518835,-0.34502684603794537,-0.8769501704688403,-0.8352969747287017,-0.6609991333603881,-0.611922986157138,-0.8105562002809346,-0.6667771673647467,-0.8217928326424009,0.7760304011091144,0.9805725365525911,0.7760304011091144,0.41353345313221224,-0.5375793728628336,0.7662391134644527,0.1783247006814261,-0.23469066264429378,0.7734567229612948,0.9905744538822554,0.7837850631273942,0.9805725365525911,0.9905744538822554,-0.9172193159264427,-0.035162883320390526,-0.29421944808813466,-0.2736618946605886,0.41612724676719004,0.2496864551829535,0.3963163292817042,-0.5164494701483385,0.33341433557172606,-0.4180878239180483,0.6735387094293797,0.3564890869527872,0.1551410835028292,-0.6724763319370276,-0.9807336822439118,-0.8272091381174324,-0.4685278833979738,-0.5835795646316558,0.7068833623793388,-0.6138381137182652,-0.8125753742911871,-0.4879737562865539,0.7843757484704299,0.9679800868149843,0.7720883391576326,-0.46619373866716285,-0.8822088576535958,-0.9430829373610119,0.9736973521122814,0.941755352963657,0.3317133579265754,-0.7767036228362504,-0.8721075908768767,-0.7382618106238242,-0.615596620946916,0.01271762907725801,-0.7035670341983429,0.31442426713609983,0.13595690033888885,-0.454466855889963,-0.4180878239180483,-0.674861723782269,-0.5979738559402091,-0.6726078151159023,0.9371531805432115,-0.8158490277996764,-0.3177247418982506,-0.7526958315200257,-0.7980128486610717,0.7734567229612948,0.989421662230599,0.7568886817997975,0.9668317149562164,0.745271679890675,0.7734567229612948,0.9834118929728497,0.9479283259188781,-0.8125753742911871,0.9872654285875835
Sobre héroes y tumbas,-0.9552374265173531,-0.5451207665840312,0.7285448410111333,-0.39483092171776707,0.9689507019079171,-0.5543392035299542,0.9999999999999998,-0.9465356445108707,0.5314326875663888,0.6200909936733174,-0.06962378111814706,-0.3243873780565861,-0.10150332654477263,-0.2591734860129858,0.8433495820057018,0.19936800077663758,0.3357060070481394,0.3835294155410501,-0.08385021249608691,-0.3021692457854546,-0.2074295646672335,-0.5996904150992941,0.2278299062302284,-0.6119884949333046,-0.3223520028773858,0.5411832564678718,0.5435529120084713,-0.3054064752101826,0.5546718580069687,0.6405032043858768,0.4040701320217012,0.28481434267696454,-0.47766957410524125,-0.1245110898387756,-0.2902026629375778,0.9021596237532488,-0.9496143506747649,0.008418724071272483,0.8612716076569005,0.25976502780320404,0.13917256402931602,-0.21257300169130522,-0.26485345437623403,0.16967274318579254,-0.18723310876277224,0.28481434267696454,-0.8890734120858762,-0.6306247131844831,-0.8890734120858762,-0.9870236477665756,-0.39483092171776707,-0.9582934348769148,-0.9174195769358124,-0.5047788651849694,-0.9562981428144997,-0.5376064283112396,-0.921378563969161,-0.6306247131844831,-0.5376064283112396,0.18116164801790918,-0.31501413692188884,0.8078239357377762,0.9459271649967274,0.4827443481714204,0.3653896715840374,0.5327367638698293,0.9917833940881603,0.5998215608849938,0.6237824655502402,-0.39311412335108453,0.5279816875295154,-0.9079850094803862,-0.11370771295518575,0.38569294386105113,0.907946445741799,0.8473832936368518,0.9914652187060816,-0.9804703600806517,-0.3141581347265433,-0.03056286154710093,-0.42868573969266954,-0.9273934973044639,-0.6255016073739703,-0.8775490149389977,-0.44074435164687076,0.6109102330407448,0.6561517362213203,-0.6279378666003839,-0.292184314713365,0.13132500988832355,0.5341604995004464,0.42477946607709466,0.40078157590648605,-0.251674612364892,0.7761338444181516,-0.1245110898387756,0.615237623159391,0.7066735340330625,-0.23400484397093457,0.6237824655502402,0.24439856032977797,-0.3353983580049953,-0.1222073955045607,-0.6108087073342512,0.2455217788895394,-0.4925678194982995,0.516839835102006,0.8344896935926243,-0.9562981428144997,-0.6333002465165061,-0.9580181596732541,-0.7436559159404692,-0.9552374265173531,-0.9562981428144997,-0.5299047937445167,-0.27364036054641644,-0.03056286154710093,-0.533914871801982
El Aleph,0.9713096503939385,0.6939035964480375,-0.677555799485212,0.10485557057342153,-0.8434393319008976,0.7821704796909501,-0.9465356445108707,1.0,-0.23096020111640808,-0.36309926816079596,0.38543473351175483,0.382587582446666,-0.1730590212350726,0.5470387148205995,-0.8284135129303115,0.044598425431466866,-0.03459151290699991,-0.08000475473715474,0.399915240271493,0.24978015689708222,-0.11921025986718518,0.8197454754130039,-0.4099056885048383,0.8320717936151201,0.35173815004443576,-0.28109744779813317,-0.24406808925992046,0.596262037198341,-0.25730241780126906,-0.8464102804214989,-0.6392504635095407,-0.5649935443087156,0.2529224617601611,-0.1372365050180974,0.5819556026580187,-0.8069214875400793,0.9997595529881506,0.21130906661493234,-0.7218493035746727,-0.5545595961129888,-0.44906490481905964,-0.1140152849207475,-0.06007893777125685,-0.47080720543267274,-0.1392240669849348,-0.5649935443087156,0.9748165265808852,0.8466234064708493,0.9748165265808852,0.8849160535214765,0.10485557057342153,0.9903845318689601,0.7483813723857494,0.3416911603085362,0.9958949531934569,0.7538066333591134,0.9926717116841183,0.8466234064708493,0.7538066333591134,-0.48090472201009293,0.3039251016025483,-0.6563236278289049,-0.7911572980997776,-0.17503451075494203,-0.10860471674273084,-0.23253530991170354,-0.9152506299444929,-0.3196053387824727,-0.6883826697328111,0.47384184615356323,-0.22772538565566552,0.7278874695884806,-0.207292127062076,-0.6458958650284132,-0.9940218065945632,-0.8502162746123714,-0.9624137871401597,0.9898861882171226,-0.0019462919693841708,-0.2724697565175845,0.15775153947585074,0.99526311325569,0.8437511650410852,0.967436735583414,0.17847846155043615,-0.7393302170226368,-0.8097417357283253,0.8453516679708268,0.5839551001620613,0.1051096567427677,-0.6277331054857626,-0.6830042444821771,-0.6328922784389154,-0.07327500842787288,-0.5390527175562071,-0.1372365050180974,-0.341937248263762,-0.501492997744348,0.06592084366577604,-0.6883826697328111,-0.4978146816112281,0.024240226431141824,-0.19978590286603612,0.8309354061258398,-0.4372622929071651,0.29272660536767947,-0.6032424239729957,-0.9489311745173843,0.9958949531934569,0.8461556642798531,0.9822548641001152,0.9050537763442975,0.9713096503939385,0.9958949531934569,0.7413982934729878,0.5640543056393402,-0.2724697565175845,0.7478306246820959
Las fuerzas extrañas,-0.31534847822543116,0.2258039604260153,0.3640837845738924,-0.9435342865961245,0.7151551058758439,0.3973097919374416,0.5314326875663888,-0.23096020111640808,1.0,0.8854910795148795,0.807782917371132,-0.04800860837750645,-0.8007416452340617,0.6702479562989918,0.3271477904713241,0.6631182097174421,0.891391962520058,0.9206753086580436,0.7994069842007501,-0.3308118759612971,-0.934015000920479,0.32666412564160163,-0.4477825843040794,0.32713841181026115,-0.12405590112249616,0.856771422826414,0.9992423789708047,0.6410226715037214,0.9898012584702726,-0.27236999653289545,-0.4205951075506769,-0.5982784498327057,-0.8244656515982405,-0.7808339018284438,0.6564198452228326,0.634705476694782,-0.23929664532666847,0.5192064599417515,0.6684939618601524,-0.6585272931944491,-0.7465100576368914,-0.9366772612749003,-0.9497559369307286,-0.7035550950433856,-0.9225930130936079,-0.5982784498327057,-0.13979708029271062,0.3221280918874563,-0.13979708029271062,-0.6574166573256432,-0.9435342865961245,-0.28168374101995475,-0.8125012280237531,-0.6841217946419605,-0.2646533559590157,0.38387715634033465,-0.18302051600441968,0.3221280918874563,0.38387715634033465,-0.7299545288724696,-0.22806036069893265,0.6738058566673109,0.7726947478224415,0.9888633617014992,0.7688789167844547,0.9999956518593393,0.5801327618720263,0.9850407822443413,0.13288534574289895,0.1259621374426216,0.9836710152011273,-0.8341172270997934,-0.8689593994096673,-0.5535435292108758,0.13368447400282846,0.3651328872052667,0.4728169952019609,-0.3558926135281823,-0.9654534100324749,-0.832490731814551,-0.9140267467359988,-0.1926602240535484,0.3250711599976496,-0.12657143383054292,-0.8987734315437508,-0.1454478409821826,-0.18256027230511754,0.323997278425117,0.6548277482893244,0.6144294217876799,-0.09569671762187937,-0.48894722386553063,-0.41225194933708675,-0.9428087550062104,0.9099364433173809,-0.7808339018284438,0.9759404055851955,0.8515280921528904,-0.5983940770458059,0.13288534574289895,-0.5262469445483419,-0.9645438757958817,-0.876071353774907,0.3271569140907757,-0.46350527626815347,-0.7699200009544513,-0.08563680182937496,0.04729423682038861,-0.2646533559590157,0.3178597188076197,-0.2986387574464615,0.14989664879876774,-0.31534847822543116,-0.2646533559590157,0.3778903641547025,0.6660656132768683,-0.832490731814551,0.3809989500662891
La casa de los espiritus,-0.5248936821391471,-0.18649258851172545,0.7280752850945409,-0.6815622059406148,0.7247681144145472,0.12360067958513915,0.6200909936733174,-0.36309926816079596,0.8854910795148795,1.0000000000000002,0.6006656953566166,0.29687490987486925,-0.4433984479799271,0.4000158240734659,0.651840449585886,0.8675221766639775,0.942356663765973,0.9521800711649098,0.6099449828846221,0.08126936973566837,-0.8124999568724368,0.2333929215669869,0.0036068828727608407,0.2032951001005477,0.24290046303040586,0.9938918329648515,0.9029040520343045,0.47000493537586424,0.9419111066455488,-0.1884234847978177,-0.46675497608278915,-0.5625502806339918,-0.4958736735558309,-0.4064298723686088,0.4470420841040175,0.5118571544444656,-0.3788907113552289,0.7453735058767194,0.8878125070515498,-0.5505005320817142,-0.6379990029965725,-0.8113954950837877,-0.8483272602412344,-0.6410008703043962,-0.8158329544877931,-0.5625502806339918,-0.19246767085092553,0.12557941865738714,-0.19246767085092553,-0.7002435017695401,-0.6815622059406148,-0.4597856827973852,-0.7751855283870743,-0.3300008560746784,-0.42715464016670857,0.05921030368369807,-0.27293256752121287,0.12557941865738714,0.05921030368369807,-0.47368330638413947,0.16445544347856095,0.9112525602695493,0.8216485882299557,0.9268945339500156,0.9457853215605874,0.8846790249601402,0.7040535423156424,0.8250174290758291,-0.08755853678713707,-0.3411490671681574,0.9494345026125052,-0.8107310940522345,-0.8154719086894092,-0.25291299120511124,0.25928453532205775,0.2353487669879941,0.5240403789231427,-0.4910920630740483,-0.7649020174900121,-0.5371586555554221,-0.6255324131955653,-0.29098066339440704,0.1557180076994799,-0.16798840032166354,-0.6006578540750809,0.25729518567231996,0.17567039632127496,0.14321091781414147,0.4500388563234774,0.8277367181829837,0.3452843206000881,-0.43140757711507316,-0.469187840194047,-0.8501096933468193,0.9654043183497003,-0.4064298723686088,0.8044299178661353,0.6221508922581077,-0.1706377326660117,-0.08755853678713707,-0.6075483260386904,-0.7479998589822139,-0.8164589716361252,0.20654113734809232,-0.020240058343042072,-0.4281285314333911,0.3606780766091407,0.0852763011952961,-0.42715464016670857,0.09453275690788983,-0.4924677023015735,-0.11677257009513738,-0.5248936821391471,-0.42715464016670857,0.03782564172464863,0.42196191802371613,-0.5371586555554221,0.04859743945212588
